,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched),QueueingDelay(noSched)
0,24,1,253,9.505987167358398,9.50479507446289
1,24,3,52,9.545087814331055,2.035856246948242
2,24,2,79,11.962890625,9.519815444946289
3,24,3,52,9.494781494140625,1.9989013671875
4,24,1,78,9.520769119262695,9.52291488647461
5,24,1,78,9.524822235107422,9.523868560791016
6,24,4,78,12.00413703918457,2.0799636840820312
7,24,4,78,11.94000244140625,1.9989013671875
8,24,4,78,12.021064758300781,2.0999908447265625
9,24,4,78,11.989116668701172,2.017974853515625
10,24,4,78,12.017965316772461,2.0399093627929688
11,24,4,78,12.031078338623047,2.032041549682617
12,24,4,78,12.073993682861328,2.0570755004882812
13,24,4,78,12.03608512878418,2.0411014556884766
14,24,4,78,12.017011642456055,2.071857452392578
15,24,4,78,12.079954147338867,2.054929733276367
16,24,4,78,12.020111083984375,2.086162567138672
17,24,4,78,11.99793815612793,2.0029544830322266
18,24,4,78,12.06517219543457,2.0990371704101562
19,24,4,78,12.011051177978516,2.0189285278320312
20,24,4,78,12.080192565917969,2.0439624786376953
21,24,4,78,12.035846710205078,2.0399093627929688
22,24,4,78,12.028932571411133,2.0627975463867188
23,24,4,78,12.066125869750977,2.045869827270508
24,24,4,78,12.027978897094727,2.074003219604492
25,24,4,78,11.928796768188477,1.9938945770263672
26,24,3,78,9.602785110473633,2.0880699157714844
27,24,3,78,9.535789489746094,2.0639896392822266
28,24,3,78,9.578227996826172,2.048969268798828
29,24,3,78,9.554624557495117,2.076864242553711
30,24,3,78,9.471654891967773,1.992940902709961
31,24,3,78,9.553909301757812,2.089977264404297
32,24,3,78,9.489059448242188,2.020120620727539
33,24,3,78,9.516716003417969,2.0389556884765625
34,24,3,78,9.516716003417969,2.028942108154297
35,24,3,78,9.5977783203125,2.0520687103271484
36,24,3,78,9.499073028564453,2.03704833984375
37,24,3,78,9.563922882080078,2.0720958709716797
38,24,3,78,9.586811065673828,2.052783966064453
39,24,3,78,9.536981582641602,2.0809173583984375
40,24,3,78,9.449958801269531,2.000093460083008
41,24,3,78,9.567975997924805,2.0971298217773438
42,24,3,78,9.550094604492188,1.9919872283935547
43,24,3,78,9.525060653686523,2.084970474243164
44,24,3,78,9.473085403442383,2.007007598876953
45,24,3,48,9.60230827331543,2.074003219604492
46,24,3,78,9.494781494140625,2.0389556884765625
47,24,3,78,9.525060653686523,2.022981643676758
48,24,3,78,9.571075439453125,2.0530223846435547
49,24,3,78,9.482145309448242,2.0380020141601562
50,24,3,78,9.529829025268555,2.065896987915039
51,24,3,78,9.569168090820312,2.0499229431152344
52,24,3,78,9.523153305053711,2.0749568939208984
53,24,3,78,9.476900100708008,1.9991397857666016
54,24,3,78,9.53984260559082,2.0949840545654297
55,24,3,78,9.557723999023438,2.012968063354492
56,24,3,78,9.526968002319336,2.0399093627929688
57,24,3,78,9.560823440551758,2.0089149475097656
58,24,3,78,9.506940841674805,2.0339488983154297
59,24,3,78,9.558439254760742,2.025127410888672
60,24,3,78,9.59920883178711,2.0470619201660156
61,24,3,78,9.590864181518555,2.03704833984375
62,24,3,78,9.511947631835938,2.0639896392822266
63,24,3,78,9.614229202270508,2.0530223846435547
64,24,3,78,9.530305862426758,2.076864242553711
65,24,3,78,9.444952011108398,1.9979476928710938
66,24,3,78,9.564876556396484,2.0949840545654297
67,24,3,78,9.56583023071289,2.0151138305664062
68,24,3,78,9.472846984863281,2.0411014556884766
69,24,3,78,9.54580307006836,2.029895782470703
70,24,3,78,9.586095809936523,2.054929733276367
71,24,3,78,9.56416130065918,2.0380020141601562
72,24,3,78,9.530067443847656,2.073049545288086
73,24,3,78,9.579896926879883,2.056121826171875
74,24,3,78,9.567022323608398,2.0821094512939453
75,24,3,78,9.54580307006836,2.0020008087158203
76,24,3,78,9.570837020874023,2.1009445190429688
77,24,3,78,9.57179069519043,2.0189285278320312
78,24,3,78,9.613037109375,2.0449161529541016
79,24,3,78,9.562015533447266,2.034902572631836
