,MCS,TBS,SegmentsNumber
0,9,24,4
1,9,24,4
2,9,24,4
3,9,24,4
4,9,24,3
5,9,24,1
6,9,24,3
7,9,24,1
8,9,24,3
9,9,24,2
10,10,24,3
11,10,24,1
12,10,24,1
13,10,24,3
14,11,24,3
15,11,24,3
16,12,24,3
17,12,24,3
18,12,149,2
19,13,24,3
20,13,24,3
21,14,24,3
22,14,24,3
23,15,116,3
24,15,24,3
25,16,24,3
26,16,24,3
27,17,24,3
28,17,24,3
29,18,24,3
30,18,24,3
31,19,24,3
32,19,24,3
33,20,24,3
34,20,24,3
35,21,24,3
36,21,24,3
37,22,24,3
38,22,24,3
39,23,24,3
40,23,24,3
41,24,24,3
42,24,24,3
43,25,116,3
44,25,24,3
45,25,24,3
46,25,24,3
47,25,24,3
48,25,24,3
49,25,24,3
50,25,24,3
51,25,24,3
52,25,24,3
53,25,24,3
54,25,24,3
55,25,24,3
56,25,24,3
57,25,24,3
58,25,24,3
59,25,24,3
60,25,24,3
61,25,24,3
62,25,24,3
63,25,116,3
64,25,24,3
65,25,24,3
66,25,24,3
67,25,24,3
68,25,24,3
69,25,24,3
70,25,24,3
71,25,24,3
72,25,24,3
73,25,24,3
74,25,24,3
75,25,24,3
76,25,24,3
77,25,24,3
78,25,24,3
79,25,24,3
80,25,24,3
81,25,24,3
82,25,24,3
83,25,116,3
84,25,24,3
85,25,24,3
86,25,24,3
87,25,24,3
88,25,24,3
89,25,24,3
90,25,24,3
91,25,24,3
92,25,24,3
93,25,24,3
94,25,24,3
95,25,24,3
96,25,24,3
97,25,24,3
98,25,24,3
99,25,24,3
100,25,24,3
101,25,24,3
102,25,24,3
103,25,24,3
104,25,24,3
105,25,24,3
106,25,24,3
107,25,24,3
108,25,24,3
109,25,24,3
110,25,24,3
111,25,24,3
112,25,24,3
113,25,24,3
114,25,24,3
115,25,24,3
116,25,24,3
117,25,24,3
118,25,24,3
119,25,24,3
120,25,24,3
121,25,24,3
122,25,24,3
123,25,24,3
124,25,24,3
125,25,24,3
126,25,24,3
127,25,24,3
128,25,24,3
129,25,24,3
130,25,24,3
131,25,24,3
132,25,24,3
133,25,24,3
134,25,24,3
135,25,24,3
136,25,24,3
137,25,24,3
138,25,24,3
139,25,24,3
140,25,24,3
141,25,24,3
142,25,24,3
143,25,24,3
144,25,24,3
145,25,24,3
146,25,24,3
147,25,24,3
148,25,24,3
149,25,24,3
150,25,24,3
151,25,24,3
152,25,24,3
153,25,24,3
154,25,24,3
155,25,24,3
156,25,24,3
157,25,24,3
158,25,24,3
159,25,24,3
160,25,24,3
161,25,24,3
162,25,24,3
163,25,24,3
164,25,24,3
165,25,24,3
166,25,24,3
167,25,24,3
168,25,24,3
169,25,24,3
170,25,24,3
171,25,24,3
172,25,24,3
173,25,24,3
174,25,24,3
175,25,24,3
176,25,24,3
177,25,24,3
178,25,24,3
179,25,24,3
180,25,24,3
181,25,24,3
182,25,24,3
183,25,24,3
184,25,24,3
185,25,24,3
186,25,24,3
187,25,24,3
188,25,24,3
189,25,24,3
190,25,24,3
191,25,24,3
192,25,24,3
193,25,24,3
194,25,24,3
195,25,24,3
196,25,24,3
197,25,24,3
198,25,24,3
199,25,24,3
200,25,24,3
201,25,24,3
202,25,24,3
203,25,24,3
204,25,24,3
205,25,24,3
206,25,24,3
207,25,24,3
208,25,24,3
209,25,24,3
210,25,24,3
211,25,24,3
212,25,24,3
213,25,24,3
214,25,24,3
215,25,24,3
216,25,24,3
217,25,24,3
218,25,24,3
219,25,24,3
220,25,24,3
221,25,24,3
222,25,24,3
223,25,24,3
224,25,24,3
225,25,24,3
226,25,24,3
227,25,24,3
228,25,24,3
229,25,24,3
230,25,24,3
231,25,24,3
232,25,24,3
233,25,24,3
234,25,24,3
235,25,24,3
236,25,24,3
237,25,24,3
238,25,24,3
239,25,24,3
240,25,24,3
241,25,24,3
242,25,24,3
243,25,24,3
244,25,24,3
245,25,24,3
246,25,24,3
247,25,24,3
248,25,24,3
249,25,24,3
250,25,24,3
251,25,24,4
252,25,24,2
253,25,24,3
254,25,24,3
255,25,24,3
256,25,24,3
257,25,24,3
258,25,24,3
259,25,24,3
260,25,24,3
261,25,24,3
262,25,24,7
263,25,24,3
264,25,24,3
265,25,92,4
266,25,24,3
267,25,24,3
268,25,24,3
269,25,24,3
270,25,24,3
271,25,24,3
272,25,24,3
273,25,24,3
274,25,24,3
275,25,24,3
276,25,24,3
277,25,24,3
278,25,24,3
279,25,24,3
280,25,24,3
281,25,24,3
282,25,24,3
283,25,24,3
284,25,24,3
285,25,24,3
286,25,24,3
287,25,24,3
288,25,24,3
289,25,24,3
290,25,24,3
291,25,24,3
292,25,24,3
293,25,24,3
294,25,24,3
295,25,24,3
296,25,24,3
297,25,24,3
298,25,24,3
299,25,24,3
300,25,24,3
301,25,24,3
302,25,24,3
303,25,24,3
304,25,24,3
305,25,24,3
306,25,24,3
307,25,24,3
308,25,24,3
309,25,24,3
310,25,24,3
311,25,24,3
312,25,24,3
313,25,24,3
314,25,24,3
315,25,24,3
316,25,24,3
317,25,24,3
318,25,24,3
319,25,24,3
320,25,24,3
321,25,24,3
322,25,24,3
323,25,24,3
324,25,24,3
325,25,24,3
326,25,24,3
327,25,24,3
328,25,24,3
329,25,24,3
330,25,24,3
331,25,24,3
332,25,24,3
333,25,24,3
334,25,24,3
335,25,24,3
336,25,24,3
337,25,24,3
338,25,24,3
339,25,24,3
340,25,24,3
341,25,24,3
342,25,24,3
343,25,24,3
344,25,24,3
345,25,24,3
346,25,24,3
347,25,24,3
348,25,24,3
349,25,24,3
350,25,24,3
351,25,24,3
352,25,24,3
353,25,24,3
354,25,24,3
355,25,24,3
356,25,24,3
357,25,24,3
358,25,24,3
359,25,24,3
360,25,24,3
361,25,24,3
362,25,24,3
363,25,24,3
364,25,24,3
365,25,24,3
366,25,24,3
367,25,24,3
368,25,24,3
369,25,24,3
370,25,24,3
371,25,24,3
372,25,24,3
373,25,24,3
374,25,24,3
375,25,24,3
376,25,24,3
377,25,24,3
378,25,24,3
379,25,24,3
380,25,24,3
381,25,24,3
382,25,24,3
383,25,24,3
384,25,24,3
385,25,24,3
386,25,24,3
387,25,24,3
388,25,24,3
389,25,24,3
390,25,24,3
391,25,24,3
392,25,24,3
393,25,24,3
394,25,24,3
395,25,24,3
396,25,24,3
397,25,24,3
398,25,24,3
399,25,24,3
400,25,24,3
401,25,24,3
402,25,24,3
403,25,24,3
404,25,24,3
405,25,24,3
406,25,24,3
407,25,24,3
408,25,24,3
409,25,24,3
410,25,24,3
411,25,24,3
412,25,24,3
413,25,24,3
414,25,24,3
415,25,24,3
416,25,24,3
417,25,24,3
418,25,24,3
419,25,24,3
420,25,24,3
421,25,24,3
422,25,24,3
423,25,24,3
424,25,24,3
425,25,24,3
426,25,24,3
427,25,24,3
428,25,24,3
429,25,24,3
430,25,24,3
431,25,24,3
432,25,24,3
433,25,24,3
434,25,24,3
435,25,24,3
436,25,24,3
437,25,24,3
438,25,24,3
439,25,24,3
440,25,24,3
441,25,24,3
442,25,24,3
443,25,24,3
444,25,24,3
445,25,24,3
446,25,24,3
447,25,24,3
448,25,24,3
449,25,24,3
450,25,24,3
451,25,24,3
452,25,24,3
453,25,24,3
454,25,24,3
455,25,24,3
456,25,24,3
457,25,24,3
458,25,24,3
459,25,24,3
460,25,24,3
461,25,24,3
462,25,24,3
463,25,24,3
464,25,24,3
465,25,24,3
466,25,24,3
467,25,24,3
468,25,24,3
469,25,24,3
470,25,24,3
471,25,24,3
472,25,24,3
473,25,24,3
474,25,24,3
475,25,24,3
476,25,24,3
477,25,24,3
478,25,24,3
479,25,24,3
480,25,24,3
481,25,24,3
482,25,24,3
483,25,24,3
484,25,24,3
485,25,24,3
486,25,24,3
487,25,24,3
488,25,24,3
489,25,24,3
490,25,24,3
491,25,24,3
492,25,24,3
493,25,24,3
494,25,24,3
495,25,24,3
496,25,24,3
497,25,24,3
498,25,24,3
499,25,24,3
500,25,24,3
501,25,24,3
502,25,24,3
503,25,24,3
504,25,24,3
505,25,24,3
506,25,24,3
507,25,24,3
508,25,24,3
509,25,24,3
510,25,24,3
511,25,24,3
512,25,24,3
513,25,24,3
514,25,24,3
515,25,24,3
516,25,24,3
517,25,24,3
518,25,24,3
519,25,24,3
520,25,24,3
521,25,24,3
522,25,24,3
523,25,24,3
524,25,24,3
525,25,24,3
526,25,24,3
527,25,24,3
528,25,24,3
529,25,24,3
530,25,24,3
531,25,24,3
532,25,24,3
533,25,24,3
534,25,24,3
535,25,24,3
536,25,24,3
537,25,24,3
538,25,24,3
539,25,24,3
540,25,24,3
541,25,24,3
542,25,24,3
543,25,24,3
544,25,24,3
545,25,24,3
546,25,24,3
547,25,24,3
548,25,24,3
549,25,24,3
550,25,24,3
551,25,24,3
552,25,24,3
553,25,24,3
554,25,24,3
555,25,24,3
556,25,24,3
557,25,24,3
558,25,24,3
559,25,24,3
560,25,24,3
561,25,24,3
562,25,24,3
563,25,24,3
564,25,24,3
565,25,24,3
566,25,24,3
567,25,24,3
568,25,24,3
569,25,24,3
570,25,24,3
571,25,24,3
572,25,24,3
573,25,24,3
574,25,24,3
575,25,24,3
576,25,24,3
577,25,24,3
578,25,24,3
579,25,24,3
580,25,24,3
581,25,24,3
582,25,24,3
583,25,24,3
584,25,24,3
585,25,24,3
586,25,24,3
587,25,24,3
588,25,24,3
589,25,24,3
590,25,24,3
591,25,24,3
592,25,24,3
593,25,24,3
594,25,24,3
595,25,24,3
596,25,24,3
597,25,24,3
598,25,24,3
599,25,24,3
600,25,24,3
601,25,24,3
602,25,24,3
603,25,24,3
604,25,24,3
605,25,24,3
606,25,24,3
607,25,24,3
608,25,24,3
609,25,24,3
610,25,24,3
611,25,24,3
612,25,24,3
613,25,24,3
614,25,24,3
615,25,24,3
616,25,24,3
617,25,24,3
618,25,24,3
619,25,24,3
620,25,24,3
621,25,24,3
622,25,24,3
623,25,24,3
624,25,24,3
625,25,24,3
626,25,24,3
627,25,24,3
628,25,24,3
629,25,24,3
630,25,24,3
631,25,24,3
632,25,24,3
633,25,24,3
634,25,24,3
635,25,24,3
636,25,24,3
637,25,24,3
638,25,24,3
639,25,24,3
640,25,24,3
