,MCS,TBS,SegmentsNumber,PacketSize
0,9,24,4,48
1,9,24,4,48
2,9,24,4,48
3,9,24,4,60
4,9,24,3,52
5,9,24,1,53
6,9,24,3,52
7,9,24,1,253
8,9,24,3,52
9,9,24,2,79
10,10,24,3,52
11,10,24,1,128
12,10,24,1,128
13,10,24,3,128
14,11,24,3,128
15,11,24,3,128
16,12,24,3,128
17,12,24,3,48
18,12,149,2,128
19,13,24,3,128
20,13,24,3,128
21,14,24,3,128
22,14,24,3,128
23,15,116,3,128
24,15,24,3,128
25,16,24,3,128
26,16,24,3,128
27,17,24,3,128
28,17,24,3,128
29,18,24,3,128
30,18,24,3,128
31,19,24,3,128
32,19,24,3,128
33,20,24,3,128
34,20,24,3,128
35,21,24,3,128
36,21,24,3,128
37,22,24,3,128
38,22,24,3,128
39,23,24,3,128
40,23,24,3,128
41,24,24,3,128
42,24,24,3,128
43,25,116,3,128
44,25,24,3,128
45,25,24,3,128
46,25,24,3,128
47,25,24,3,128
48,25,24,3,128
49,25,24,3,128
50,25,24,3,128
51,25,24,3,128
52,25,24,3,128
53,25,24,3,128
54,25,24,3,128
55,25,24,3,128
56,25,24,3,128
57,25,24,3,128
58,25,24,3,128
59,25,24,3,128
60,25,24,3,128
61,25,24,3,128
62,25,24,3,128
63,25,116,3,128
64,25,24,3,128
65,25,24,3,128
66,25,24,3,128
67,25,24,3,128
68,25,24,3,128
69,25,24,3,128
70,25,24,3,128
71,25,24,3,128
72,25,24,3,128
73,25,24,3,128
74,25,24,3,128
75,25,24,3,128
76,25,24,3,128
77,25,24,3,128
78,25,24,3,128
79,25,24,3,128
80,25,24,3,128
81,25,24,3,128
82,25,24,3,128
83,25,116,3,128
84,25,24,3,128
85,25,24,3,128
86,25,24,3,128
87,25,24,3,128
88,25,24,3,128
89,25,24,3,128
90,25,24,3,128
91,25,24,3,128
92,25,24,3,128
93,25,24,3,128
94,25,24,3,128
95,25,24,3,128
96,25,24,3,128
97,25,24,3,128
98,25,24,3,128
99,25,24,3,128
100,25,24,3,128
101,25,24,3,128
102,25,24,3,128
103,25,24,3,128
104,25,24,3,128
105,25,24,3,128
106,25,24,3,128
107,25,24,3,128
108,25,24,3,128
109,25,24,3,128
110,25,24,3,128
111,25,24,3,128
112,25,24,3,128
113,25,24,3,128
114,25,24,3,128
115,25,24,3,128
116,25,24,3,128
117,25,24,3,128
118,25,24,3,128
119,25,24,3,128
120,25,24,3,128
121,25,24,3,128
122,25,24,3,128
123,25,24,3,128
124,25,24,3,128
125,25,24,3,128
126,25,24,3,128
127,25,24,3,128
128,25,24,3,128
129,25,24,3,128
130,25,24,3,128
131,25,24,3,128
132,25,24,3,128
133,25,24,3,128
134,25,24,3,128
135,25,24,3,128
136,25,24,3,128
137,25,24,3,128
138,25,24,3,128
139,25,24,3,128
140,25,24,3,128
141,25,24,3,128
142,25,24,3,128
143,25,24,3,128
144,25,24,3,128
145,25,24,3,128
146,25,24,3,128
147,25,24,3,128
148,25,24,3,128
149,25,24,3,128
150,25,24,3,128
151,25,24,3,128
152,25,24,3,128
153,25,24,3,128
154,25,24,3,128
155,25,24,3,128
156,25,24,3,128
157,25,24,3,128
158,25,24,3,128
159,25,24,3,128
160,25,24,3,128
161,25,24,3,128
162,25,24,3,128
163,25,24,3,128
164,25,24,3,128
165,25,24,3,128
166,25,24,3,128
167,25,24,3,128
168,25,24,3,128
169,25,24,3,128
170,25,24,3,128
171,25,24,3,128
172,25,24,3,128
173,25,24,3,128
174,25,24,3,128
175,25,24,3,128
176,25,24,3,128
177,25,24,3,128
178,25,24,3,128
179,25,24,3,128
180,25,24,3,128
181,25,24,3,128
182,25,24,3,128
183,25,24,3,128
184,25,24,3,128
185,25,24,3,128
186,25,24,3,128
187,25,24,3,128
188,25,24,3,128
189,25,24,3,128
190,25,24,3,128
191,25,24,3,128
192,25,24,3,128
193,25,24,3,128
194,25,24,3,128
195,25,24,3,128
196,25,24,3,128
197,25,24,3,128
198,25,24,3,128
199,25,24,3,128
200,25,24,3,128
201,25,24,3,128
202,25,24,3,128
203,25,24,3,128
204,25,24,3,128
205,25,24,3,128
206,25,24,3,128
207,25,24,3,128
208,25,24,3,128
209,25,24,3,128
210,25,24,3,128
211,25,24,3,128
212,25,24,3,128
213,25,24,3,128
214,25,24,3,128
215,25,24,3,128
216,25,24,3,128
217,25,24,3,128
218,25,24,3,128
219,25,24,3,128
220,25,24,3,128
221,25,24,3,128
222,25,24,3,128
223,25,24,3,128
224,25,24,3,128
225,25,24,3,128
226,25,24,3,128
227,25,24,3,128
228,25,24,3,128
229,25,24,3,128
230,25,24,3,128
231,25,24,3,128
232,25,24,3,128
233,25,24,3,128
234,25,24,3,128
235,25,24,3,128
236,25,24,3,128
237,25,24,3,128
238,25,24,3,128
239,25,24,3,128
240,25,24,3,128
241,25,24,3,128
242,25,24,3,128
243,25,24,3,128
244,25,24,3,128
245,25,24,3,128
246,25,24,3,128
247,25,24,3,128
248,25,24,3,128
249,25,24,3,128
250,25,24,3,128
251,25,24,4,128
252,25,24,2,128
253,25,24,3,128
254,25,24,3,128
255,25,24,3,128
256,25,24,3,128
257,25,24,3,128
258,25,24,3,128
259,25,24,3,128
260,25,24,3,128
261,25,24,3,128
262,25,24,7,128
263,25,24,3,128
264,25,24,3,128
265,25,92,4,128
266,25,24,3,128
267,25,24,3,128
268,25,24,3,128
269,25,24,3,128
270,25,24,3,128
271,25,24,3,128
272,25,24,3,128
273,25,24,3,128
274,25,24,3,128
275,25,24,3,128
276,25,24,3,128
277,25,24,3,128
278,25,24,3,128
279,25,24,3,128
280,25,24,3,128
281,25,24,3,128
282,25,24,3,128
283,25,24,3,128
284,25,24,3,128
285,25,24,3,128
286,25,24,3,128
287,25,24,3,128
288,25,24,3,128
289,25,24,3,128
290,25,24,3,128
291,25,24,3,128
292,25,24,3,128
293,25,24,3,128
294,25,24,3,128
295,25,24,3,128
296,25,24,3,128
297,25,24,3,128
298,25,24,3,128
299,25,24,3,128
300,25,24,3,128
301,25,24,3,128
302,25,24,3,128
303,25,24,3,128
304,25,24,3,128
305,25,24,3,128
306,25,24,3,128
307,25,24,3,128
308,25,24,3,128
309,25,24,3,128
310,25,24,3,128
311,25,24,3,128
312,25,24,3,128
313,25,24,3,128
314,25,24,3,128
315,25,24,3,128
316,25,24,3,128
317,25,24,3,128
318,25,24,3,128
319,25,24,3,128
320,25,24,3,128
321,25,24,3,128
322,25,24,3,128
323,25,24,3,128
324,25,24,3,128
325,25,24,3,128
326,25,24,3,128
327,25,24,3,128
328,25,24,3,128
329,25,24,3,128
330,25,24,3,128
331,25,24,3,128
332,25,24,3,128
333,25,24,3,128
334,25,24,3,128
335,25,24,3,128
336,25,24,3,128
337,25,24,3,128
338,25,24,3,128
339,25,24,3,128
340,25,24,3,128
341,25,24,3,128
342,25,24,3,128
343,25,24,3,128
344,25,24,3,128
345,25,24,3,128
346,25,24,3,128
347,25,24,3,128
348,25,24,3,128
349,25,24,3,128
350,25,24,3,128
351,25,24,3,128
352,25,24,3,128
353,25,24,3,128
354,25,24,3,128
355,25,24,3,128
356,25,24,3,128
357,25,24,3,128
358,25,24,3,128
359,25,24,3,128
360,25,24,3,128
361,25,24,3,128
362,25,24,3,128
363,25,24,3,128
364,25,24,3,128
365,25,24,3,128
366,25,24,3,128
367,25,24,3,128
368,25,24,3,128
369,25,24,3,128
370,25,24,3,128
371,25,24,3,128
372,25,24,3,128
373,25,24,3,128
374,25,24,3,128
375,25,24,3,128
376,25,24,3,128
377,25,24,3,128
378,25,24,3,128
379,25,24,3,128
380,25,24,3,128
381,25,24,3,128
382,25,24,3,128
383,25,24,3,128
384,25,24,3,128
385,25,24,3,128
386,25,24,3,128
387,25,24,3,128
388,25,24,3,128
389,25,24,3,128
390,25,24,3,128
391,25,24,3,128
392,25,24,3,128
393,25,24,3,128
394,25,24,3,128
395,25,24,3,128
396,25,24,3,128
397,25,24,3,128
398,25,24,3,128
399,25,24,3,128
400,25,24,3,128
401,25,24,3,128
402,25,24,3,128
403,25,24,3,128
404,25,24,3,128
405,25,24,3,128
406,25,24,3,128
407,25,24,3,128
408,25,24,3,128
409,25,24,3,128
410,25,24,3,128
411,25,24,3,128
412,25,24,3,128
413,25,24,3,128
414,25,24,3,128
415,25,24,3,128
416,25,24,3,128
417,25,24,3,128
418,25,24,3,128
419,25,24,3,128
420,25,24,3,128
421,25,24,3,128
422,25,24,3,128
423,25,24,3,128
424,25,24,3,128
425,25,24,3,128
426,25,24,3,128
427,25,24,3,128
428,25,24,3,128
429,25,24,3,128
430,25,24,3,128
431,25,24,3,128
432,25,24,3,128
433,25,24,3,128
434,25,24,3,128
435,25,24,3,128
436,25,24,3,128
437,25,24,3,128
438,25,24,3,128
439,25,24,3,128
440,25,24,3,128
441,25,24,3,128
442,25,24,3,128
443,25,24,3,128
444,25,24,3,128
445,25,24,3,128
446,25,24,3,128
447,25,24,3,128
448,25,24,3,128
449,25,24,3,128
450,25,24,3,128
451,25,24,3,128
452,25,24,3,128
453,25,24,3,128
454,25,24,3,128
455,25,24,3,128
456,25,24,3,128
457,25,24,3,128
458,25,24,3,128
459,25,24,3,128
460,25,24,3,128
461,25,24,3,128
462,25,24,3,128
463,25,24,3,128
464,25,24,3,128
465,25,24,3,128
466,25,24,3,128
467,25,24,3,128
468,25,24,3,128
469,25,24,3,128
470,25,24,3,128
471,25,24,3,128
472,25,24,3,128
473,25,24,3,128
474,25,24,3,128
475,25,24,3,128
476,25,24,3,128
477,25,24,3,128
478,25,24,3,128
479,25,24,3,128
480,25,24,3,128
481,25,24,3,128
482,25,24,3,128
483,25,24,3,128
484,25,24,3,128
485,25,24,3,128
486,25,24,3,128
487,25,24,3,128
488,25,24,3,128
489,25,24,3,128
490,25,24,3,128
491,25,24,3,128
492,25,24,3,128
493,25,24,3,128
494,25,24,3,128
495,25,24,3,128
496,25,24,3,128
497,25,24,3,128
498,25,24,3,128
499,25,24,3,128
500,25,24,3,128
501,25,24,3,128
502,25,24,3,128
503,25,24,3,128
504,25,24,3,128
505,25,24,3,128
506,25,24,3,128
507,25,24,3,128
508,25,24,3,128
509,25,24,3,128
510,25,24,3,128
511,25,24,3,128
512,25,24,3,128
513,25,24,3,128
514,25,24,3,128
515,25,24,3,128
516,25,24,3,128
517,25,24,3,128
518,25,24,3,128
519,25,24,3,128
520,25,24,3,128
521,25,24,3,128
522,25,24,3,128
523,25,24,3,128
524,25,24,3,128
525,25,24,3,128
526,25,24,3,128
527,25,24,3,128
528,25,24,3,128
529,25,24,3,128
530,25,24,3,128
531,25,24,3,128
532,25,24,3,128
533,25,24,3,128
534,25,24,3,128
535,25,24,3,128
536,25,24,3,128
537,25,24,3,128
538,25,24,3,128
539,25,24,3,128
540,25,24,3,128
541,25,24,3,128
542,25,24,3,128
543,25,24,3,128
544,25,24,3,128
545,25,24,3,128
546,25,24,3,128
547,25,24,3,128
548,25,24,3,128
549,25,24,3,128
550,25,24,3,128
551,25,24,3,128
552,25,24,3,128
553,25,24,3,128
554,25,24,3,128
555,25,24,3,128
556,25,24,3,128
557,25,24,3,128
558,25,24,3,128
559,25,24,3,128
560,25,24,3,128
561,25,24,3,128
562,25,24,3,128
563,25,24,3,128
564,25,24,3,128
565,25,24,3,128
566,25,24,3,128
567,25,24,3,128
568,25,24,3,128
569,25,24,3,128
570,25,24,3,128
571,25,24,3,128
572,25,24,3,128
573,25,24,3,128
574,25,24,3,128
575,25,24,3,128
576,25,24,3,128
577,25,24,3,128
578,25,24,3,128
579,25,24,3,128
580,25,24,3,128
581,25,24,3,128
582,25,24,3,128
583,25,24,3,128
584,25,24,3,128
585,25,24,3,128
586,25,24,3,128
587,25,24,3,128
588,25,24,3,128
589,25,24,3,128
590,25,24,3,128
591,25,24,3,128
592,25,24,3,128
593,25,24,3,128
594,25,24,3,128
595,25,24,3,128
596,25,24,3,128
597,25,24,3,128
598,25,24,3,128
599,25,24,3,128
600,25,24,3,128
601,25,24,3,128
602,25,24,3,128
603,25,24,3,128
604,25,24,3,128
605,25,24,3,128
606,25,24,3,128
607,25,24,3,128
608,25,24,3,128
609,25,24,3,128
610,25,24,3,128
611,25,24,3,128
612,25,24,3,128
613,25,24,3,128
614,25,24,3,128
615,25,24,3,128
616,25,24,3,128
617,25,24,3,128
618,25,24,3,128
619,25,24,3,128
620,25,24,3,128
621,25,24,3,128
622,25,24,3,128
623,25,24,3,128
624,25,24,3,128
625,25,24,3,128
626,25,24,3,128
627,25,24,3,128
628,25,24,3,128
629,25,24,3,128
630,25,24,3,128
631,25,24,3,128
632,25,24,3,128
633,25,24,3,128
634,25,24,3,128
635,25,24,3,128
636,25,24,3,128
637,25,24,3,128
638,25,24,3,128
639,25,24,3,128
640,25,24,3,128
641,25,24,3,128
642,25,24,3,128
643,25,24,3,128
644,25,24,3,128
645,25,24,3,128
646,25,24,3,128
647,25,24,3,48
648,25,24,3,128
649,25,24,3,128
650,25,24,3,128
651,25,24,3,128
652,25,24,3,128
653,25,24,3,128
654,25,24,3,128
655,25,24,3,128
656,25,24,3,128
657,25,24,3,128
658,25,24,3,128
659,25,24,3,128
660,25,24,3,128
661,25,24,3,128
662,25,24,3,128
663,25,24,3,128
664,25,24,3,128
665,25,24,3,128
666,25,24,3,128
667,25,24,3,128
668,25,24,3,128
669,25,24,3,128
670,25,24,3,128
671,25,24,3,128
672,25,24,3,128
673,25,24,3,128
674,25,24,3,128
675,25,24,3,128
676,25,24,3,128
677,25,24,3,128
678,25,24,3,128
679,25,24,3,128
680,25,24,3,128
681,25,24,3,128
682,25,24,3,128
683,25,24,3,128
684,25,24,3,128
685,25,24,3,128
686,25,24,3,128
687,25,24,3,128
688,25,24,3,128
689,25,24,3,128
690,25,24,3,128
691,25,24,3,128
692,25,24,3,128
693,25,24,3,128
694,25,24,3,128
695,25,24,3,128
696,25,24,3,128
697,25,24,3,128
698,25,24,3,128
699,25,24,3,128
700,25,24,3,128
701,25,24,3,128
702,25,24,3,128
703,25,24,3,128
704,25,24,3,128
705,25,24,3,128
706,25,24,3,128
707,25,24,3,128
708,25,24,3,128
709,25,24,3,128
710,25,24,3,128
711,25,24,3,128
712,25,24,3,128
713,25,24,3,128
714,25,24,3,128
715,25,24,3,128
716,25,24,3,128
717,25,24,3,128
718,25,24,3,128
719,25,24,3,128
720,25,24,3,128
721,25,24,3,128
722,25,24,3,128
723,25,24,3,128
724,25,24,3,128
725,25,24,3,128
726,25,24,3,128
727,25,24,3,128
728,25,24,3,128
729,25,24,3,128
730,25,24,3,128
731,25,24,3,128
732,25,24,3,128
733,25,24,3,128
734,25,24,3,128
735,25,24,3,128
736,25,24,3,128
737,25,24,3,128
738,25,24,3,128
739,25,24,3,128
740,25,24,3,128
741,25,24,3,128
742,25,24,3,128
743,25,24,3,128
744,25,24,3,128
745,25,24,3,128
746,25,24,3,128
747,25,24,3,128
748,25,24,3,128
749,25,24,3,128
750,25,24,3,128
751,25,24,3,128
752,25,24,3,128
753,25,24,3,128
754,25,24,3,128
755,25,24,3,128
756,25,24,3,128
757,25,24,3,128
758,25,24,3,128
759,25,24,3,128
760,25,24,3,128
761,25,24,3,128
762,25,24,3,128
763,25,24,3,128
764,25,24,3,128
765,25,24,3,128
766,25,24,3,128
767,25,24,3,128
768,25,24,3,128
769,25,24,3,128
770,25,24,3,128
771,25,24,3,128
772,25,24,3,128
773,25,24,3,128
774,25,24,3,128
775,25,24,3,128
776,25,24,3,128
777,25,24,3,128
778,25,24,3,128
779,25,24,3,128
780,25,24,3,128
781,25,24,3,128
782,25,24,3,128
783,25,24,3,128
784,25,24,3,128
785,25,24,3,128
786,25,24,3,128
787,25,24,3,128
788,25,24,3,128
789,25,24,3,128
790,25,24,3,128
791,25,24,3,128
792,25,24,3,128
793,25,24,3,128
794,25,24,3,128
795,25,24,3,128
796,25,24,3,128
797,25,24,3,128
798,25,24,3,128
799,25,24,3,128
800,25,24,3,128
801,25,24,3,128
802,25,24,3,128
803,25,24,3,128
804,25,24,3,128
805,25,24,3,128
806,25,24,3,128
807,25,24,3,128
808,25,24,3,128
809,25,24,3,128
810,25,24,3,128
811,25,24,3,128
812,25,24,3,128
813,25,24,3,128
814,25,24,3,128
815,25,24,3,128
816,25,24,3,128
817,25,24,3,128
818,25,24,3,128
819,25,24,3,128
820,25,24,3,128
821,25,24,3,128
822,25,24,3,128
823,25,24,3,128
824,25,24,3,128
825,25,24,3,128
826,25,24,3,128
827,25,24,3,128
828,25,24,3,128
829,25,24,3,128
830,25,24,3,128
831,25,24,3,128
832,25,24,3,128
833,25,24,3,128
834,25,24,3,128
835,25,24,3,128
836,25,24,3,128
837,25,24,3,128
838,25,24,3,128
839,25,24,3,128
840,25,24,3,128
841,25,24,3,128
842,25,24,3,128
843,25,24,3,128
844,25,24,3,128
845,25,24,3,128
846,25,24,3,128
847,25,24,3,128
848,25,24,3,128
849,25,24,3,128
850,25,24,3,128
851,25,24,3,128
852,25,24,3,128
853,25,24,3,128
854,25,24,3,128
855,25,24,3,128
856,25,24,3,128
857,25,24,3,128
858,25,24,3,128
859,25,24,3,128
860,25,24,3,128
861,25,24,3,128
862,25,24,3,128
863,25,24,3,128
864,25,24,3,128
865,25,24,3,128
866,25,24,3,128
867,25,24,3,128
868,25,24,3,128
869,25,24,3,128
870,25,24,3,128
871,25,24,3,128
872,25,24,3,128
873,25,24,3,128
874,25,24,3,128
875,25,24,3,128
876,25,24,3,128
877,25,24,3,128
878,25,24,3,128
879,25,24,3,128
880,25,24,3,128
881,25,24,3,128
882,25,24,3,128
883,25,24,3,128
884,25,24,3,128
885,25,24,3,128
886,25,24,3,128
887,25,24,3,128
888,25,24,3,128
889,25,24,3,128
890,25,24,3,128
891,25,24,3,128
892,25,24,3,128
893,25,24,3,128
894,25,24,3,128
895,25,24,3,128
896,25,24,3,128
897,25,24,3,128
898,25,24,3,128
899,25,24,3,128
900,25,24,3,128
901,25,24,3,128
902,25,24,3,128
903,25,24,3,128
904,25,24,3,128
905,25,24,3,128
906,25,24,3,128
907,25,24,3,128
908,25,24,3,128
909,25,24,3,128
910,25,24,3,128
911,25,24,3,128
912,25,24,3,128
913,25,24,3,128
914,25,24,3,128
915,25,24,3,128
916,25,24,3,128
917,25,24,3,128
918,25,24,3,128
919,25,24,3,128
920,25,24,3,128
921,25,24,3,128
922,25,24,3,128
923,25,24,3,128
924,25,24,3,128
925,25,24,3,128
926,25,24,3,128
927,25,24,3,128
928,25,24,3,128
929,25,24,3,128
930,25,24,3,128
931,25,24,3,128
932,25,24,3,128
933,25,24,3,128
934,25,24,3,128
935,25,24,3,128
936,25,24,3,128
937,25,24,3,128
938,25,24,3,128
939,25,24,3,128
940,25,24,3,128
941,25,24,3,128
942,25,24,3,128
943,25,24,3,128
944,25,24,3,128
945,25,24,3,128
946,25,24,3,128
947,25,24,3,128
948,25,24,3,128
949,25,24,3,128
950,25,24,3,128
951,25,24,3,128
952,25,24,3,128
953,25,24,3,128
954,25,24,3,128
955,25,24,3,128
956,25,24,3,128
957,25,24,3,128
958,25,24,3,128
959,25,24,3,128
960,25,24,3,128
961,25,24,3,128
962,25,24,3,128
963,25,24,3,128
964,25,24,3,128
965,25,24,3,128
966,25,24,3,128
967,25,24,3,128
968,25,24,3,128
969,25,24,3,128
970,25,24,3,128
971,25,24,3,128
972,25,24,3,128
973,25,24,3,128
974,25,24,3,128
975,25,24,3,128
976,25,24,3,128
977,25,24,3,128
978,25,24,3,128
979,25,24,3,128
980,25,24,3,128
981,25,24,3,128
982,25,24,3,128
983,25,24,3,128
984,25,24,3,128
985,25,24,3,128
986,25,24,3,128
987,25,24,3,128
988,25,24,3,128
989,25,24,3,128
990,25,24,3,128
991,25,24,3,128
992,25,24,3,128
993,25,24,3,128
994,25,24,3,128
995,25,24,3,128
996,25,24,3,128
997,25,24,3,128
998,25,24,3,128
999,25,24,3,128
1000,25,24,3,128
1001,25,24,3,128
1002,25,24,3,128
1003,25,24,3,128
1004,25,24,3,128
1005,25,24,3,128
1006,25,24,3,128
1007,25,24,3,128
1008,25,24,3,128
1009,25,24,3,128
1010,25,24,3,128
1011,25,24,3,128
1012,25,24,3,128
1013,25,24,3,128
1014,25,24,3,128
1015,25,24,3,128
1016,25,24,3,128
1017,25,24,3,128
1018,25,24,3,128
1019,25,24,3,128
1020,25,24,3,128
1021,25,24,3,128
1022,25,24,3,128
1023,25,24,3,128
1024,25,24,3,128
1025,25,24,3,128
1026,25,24,3,128
1027,25,24,3,128
1028,25,24,3,128
1029,25,24,3,128
1030,25,24,3,128
1031,25,24,3,128
1032,25,24,3,128
1033,25,24,3,128
1034,25,24,3,128
1035,25,24,3,128
1036,25,24,3,128
1037,25,24,3,128
1038,25,24,3,128
1039,25,24,3,128
1040,25,24,3,128
1041,25,24,3,128
1042,25,24,3,128
1043,25,24,3,128
1044,25,24,3,128
1045,25,24,3,128
